Date,Conservative,Labour,LD,UKIP,SDP,TIG,BXP,Green
1983-06-01,43.0,27.0,29.0,,,,,
1983-07-01,44.8,28.6,25.1,,,,,
1983-08-01,45.7,27.4,25.5,,,,,
1983-09-01,45.5,26.7,26.3,,,,,
1983-10-01,42.4,35.4,20.8,,,,,
1983-11-01,42.8,35.1,20.6,,,,,
1983-12-01,41.9,37.3,19.3,,,,,
1984-01-01,42.9,36.5,18.8,,,,,
1984-02-01,42.4,36.7,19.0,,,,,
1984-03-01,39.9,39.9,18.8,,,,,
1984-04-01,40.7,37.4,20.3,,,,,
1984-05-01,39.8,36.8,21.8,,,,,
1984-06-01,39.2,38.0,21.2,,,,,
1984-07-01,37.2,38.5,22.3,,,,,
1984-08-01,38.2,38.8,21.2,,,,,
1984-09-01,39.8,36.9,21.3,,,,,
1984-10-01,41.9,34.5,21.6,,,,,
1984-11-01,43.8,32.7,21.8,,,,,
1984-12-01,40.3,34.1,24.0,,,,,
1985-01-01,38.8,34.5,24.9,,,,,
1985-02-01,37.5,35.8,24.9,,,,,
1985-03-01,36.2,37.9,23.8,,,,,
1985-04-01,36.2,37.4,24.9,,,,,
1985-05-01,31.7,35.1,31.3,,,,,
1985-06-01,33.4,36.4,29.0,,,,,
1985-07-01,30.9,35.3,31.8,,,,,
1985-08-01,29.8,36.4,32.0,,,,,
1985-09-01,31.5,33.3,33.2,,,,,
1985-10-01,34.2,36.0,27.9,,,,,
1985-11-01,35.0,35.0,27.8,,,,,
1985-12-01,34.3,33.5,30.2,,,,,
1986-01-01,31.3,34.9,31.5,,,,,
1986-02-01,30.6,36.2,31.6,,,,,
1986-03-01,31.8,35.8,30.5,,,,,
1986-04-01,31.9,37.6,28.1,,,,,
1986-05-01,31.4,38.5,27.5,,,,,
1986-06-01,33.0,39.5,24.6,,,,,
1986-07-01,32.3,39.0,26.5,,,,,
1986-08-01,33.7,37.4,26.0,,,,,
1986-09-01,33.9,38.8,25.4,,,,,
1986-10-01,38.0,39.1,20.6,,,,,
1986-11-01,38.3,39.4,19.8,,,,,
1986-12-01,40.2,36.3,21.4,,,,,
1987-01-01,39.0,37.8,21.0,,,,,
1987-02-01,38.3,35.0,24.8,,,,,
1987-03-01,38.5,31.0,28.6,,,,,
1987-04-01,40.8,30.5,26.3,,,,,
1987-05-01,42.6,32.5,22.9,,,,,
1987-06-01,42.8,34.1,21.4,,,,,
1987-06-01,43.3,31.5,23.1,,,,,
1987-06-01,45.5,32.0,20.0,,,,,
1987-07-01,47.2,33.0,18.2,,,,,
1987-08-01,47.6,34.4,16.1,,,,,
1987-09-01,47.6,34.7,15.0,,,,,
1987-10-01,47.8,35.5,13.9,,,,,
1987-11-01,48.5,35.0,14.3,,,,,
1987-12-01,47.1,35.6,14.8,,,,,
1988-01-01,45.9,37.6,13.6,,,,,
1988-02-01,45.2,39.3,12.3,,4.0,,,
1988-03-01,45.0,38.5,10.7,,4.5,,,
1988-04-01,43.3,40.1,10.0,,4.7,,,
1988-05-01,43.4,40.0,7.9,,5.4,,,
1988-06-01,46.0,38.5,8.3,,3.9,,,
1988-07-01,45.6,40.0,8.0,,4.3,,,
1988-08-01,46.9,35.9,8.5,,4.8,,,
1988-09-01,44.9,38.5,9.2,,4.3,,,
1988-10-01,45.7,37.9,8.3,,4.3,,,
1988-11-01,42.8,37.6,9.8,,4.8,,,
1988-12-01,44.2,36.2,9.4,,5.8,,,
1989-01-01,45.2,37.1,9.6,,4.5,,,
1989-02-01,41.1,38.7,9.6,,5.8,,,
1989-03-01,41.0,39.0,8.7,,5.4,,,
1989-04-01,41.7,38.7,9.1,,6.1,,,
1989-05-01,41.5,42.5,7.5,,3.3,,,
1989-06-01,36.9,44.3,6.3,,3.4,,,
1989-07-01,36.8,42.9,5.5,,3.5,,,8.8
