Year,Month,Conservative,Labour,LD,UKIP,SDP,TIG,BXP,Green
,GE,43.5,28.3,26.0,,,,,
1983,Jun-83,43.0,27.0,29.0,,,,,
,Jul-83,44.8,28.6,25.1,,,,,
,Aug-83,45.7,27.4,25.5,,,,,
,Sep-83,45.5,26.7,26.3,,,,,
,Oct-83,42.4,35.4,20.8,,,,,
,Nov-83,42.8,35.1,20.6,,,,,
,Dec-83,41.9,37.3,19.3,,,,,
1984,Jan-84,42.9,36.5,18.8,,,,,
,Feb-84,42.4,36.7,19.0,,,,,
,Mar-84,39.9,39.9,18.8,,,,,
,Apr-84,40.7,37.4,20.3,,,,,
,May-84,39.8,36.8,21.8,,,,,
,Jun-84,39.2,38.0,21.2,,,,,
,Jul-84,37.2,38.5,22.3,,,,,
,Aug-84,38.2,38.8,21.2,,,,,
,Sep-84,39.8,36.9,21.3,,,,,
,Oct-84,41.9,34.5,21.6,,,,,
,Nov-84,43.8,32.7,21.8,,,,,
,Dec-84,40.3,34.1,24.0,,,,,
1985,Jan-85,38.8,34.5,24.9,,,,,
,Feb-85,37.5,35.8,24.9,,,,,
,Mar-85,36.2,37.9,23.8,,,,,
,Apr-85,36.2,37.4,24.9,,,,,
,May-85,31.7,35.1,31.3,,,,,
,Jun-85,33.4,36.4,29.0,,,,,
,Jul-85,30.9,35.3,31.8,,,,,
,Aug-85,29.8,36.4,32.0,,,,,
,Sep-85,31.5,33.3,33.2,,,,,
,Oct-85,34.2,36.0,27.9,,,,,
,Nov-85,35.0,35.0,27.8,,,,,
,Dec-85,34.3,33.5,30.2,,,,,
1986,Jan-86,31.3,34.9,31.5,,,,,
,Feb-86,30.6,36.2,31.6,,,,,
,Mar-86,31.8,35.8,30.5,,,,,
,Apr-86,31.9,37.6,28.1,,,,,
,May-86,31.4,38.5,27.5,,,,,
,Jun-86,33.0,39.5,24.6,,,,,
,Jul-86,32.3,39.0,26.5,,,,,
,Aug-86,33.7,37.4,26.0,,,,,
